Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Precious Achiuwa,C,23,TOR,55,12,20.7,3.6,7.3,0.485,0.5,2.0,0.269,3.0,5.4,0.564,0.521,1.6,2.3,0.702,1.8,4.1,6.0,0.9,0.6,0.5,1.1,1.9,9.2,12309.0,Precious Achiuwa,TOR,23.0,203.2,102.0582,Memphis,Nigeria,2020,1,20,55.0,9.2,6.0,0.9,-1.6,0.083,0.213,0.19,0.5539999999999999,0.063,2022-23
Steven Adams,C,29,MEM,42,42,27.0,3.7,6.3,0.597,0.0,0.0,0.0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,12432.0,Steven Adams,MEM,29.0,210.82,120.20188,Pittsburgh,New Zealand,2013,1,12,42.0,8.6,11.5,2.3,9.7,0.171,0.222,0.139,0.564,0.107,2022-23
Bam Adebayo,C,25,MIA,75,75,34.6,8.0,14.9,0.54,0.0,0.2,0.083,8.0,14.7,0.545,0.541,4.3,5.4,0.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,12570.0,Bam Adebayo,MIA,25.0,205.74,115.66596,Kentucky,USA,2017,1,14,75.0,20.4,9.2,3.2,1.8,0.073,0.206,0.251,0.5920000000000001,0.154,2022-23
Ochai Agbaji,SG,22,UTA,59,22,20.5,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.532,0.9,1.2,0.812,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9,12374.0,Ochai Agbaji,UTA,23.0,195.58,97.52228,Kansas,USA,2022,1,14,59.0,7.9,2.1,1.1,-0.2,0.034,0.0579999999999999,0.154,0.561,0.072,2022-23
Santi Aldama,PF,22,MEM,77,20,21.8,3.2,6.8,0.47,1.2,3.5,0.353,2.0,3.4,0.591,0.56,1.4,1.9,0.75,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9.0,12427.0,Santi Aldama,MEM,22.0,213.36,97.52228,Loyola-Maryland,Spain,2021,1,30,77.0,9.0,4.8,1.3,2.6,0.047,0.162,0.157,0.591,0.076,2022-23
Nickeil Alexander-Walker,SG,24,TOT,59,3,15.0,2.2,5.0,0.444,1.0,2.7,0.384,1.2,2.3,0.515,0.547,0.7,1.0,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2,12383.0,Nickeil Alexander-Walker,MIN,24.0,195.58,92.98636,Virginia Tech,Canada,2019,1,17,59.0,6.2,1.7,1.8,-2.0,0.017,0.095,0.177,0.565,0.168,2022-23
Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,0.488,1.0,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3,12383.0,Nickeil Alexander-Walker,MIN,24.0,195.58,92.98636,Virginia Tech,Canada,2019,1,17,59.0,6.2,1.7,1.8,-2.0,0.017,0.095,0.177,0.565,0.168,2022-23
Nickeil Alexander-Walker,SG,24,MIN,23,0,15.5,2.1,5.4,0.384,1.1,3.1,0.361,1.0,2.3,0.415,0.488,0.6,0.9,0.619,0.3,1.5,1.8,1.4,0.3,0.3,0.4,1.3,5.9,12383.0,Nickeil Alexander-Walker,MIN,24.0,195.58,92.98636,Virginia Tech,Canada,2019,1,17,59.0,6.2,1.7,1.8,-2.0,0.017,0.095,0.177,0.565,0.168,2022-23
Grayson Allen,SG,27,MIL,72,70,27.4,3.4,7.7,0.44,2.0,5.1,0.399,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1.0,1.6,10.4,12526.0,Grayson Allen,MIL,27.0,193.04,89.811216,Duke,USA,2018,1,21,72.0,10.4,3.3,2.3,4.9,0.03,0.0819999999999999,0.143,0.612,0.107,2022-23
Jarrett Allen,C,24,CLE,68,68,32.6,5.9,9.2,0.644,0.0,0.1,0.1,5.9,9.1,0.653,0.645,2.4,3.3,0.733,3.3,6.5,9.8,1.7,0.8,1.2,1.4,2.3,14.3,12768.0,Jarrett Allen,CLE,25.0,205.74,110.222856,Texas,USA,2017,1,22,68.0,14.3,9.8,1.7,7.7,0.107,0.21,0.162,0.67,0.073,2022-23
Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8.0,0.411,1.4,4.0,0.336,1.9,4.0,0.488,0.496,1.1,1.3,0.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0,12809.0,Jose Alvarado,NOP,25.0,182.88,81.19296800000001,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,61.0,9.0,2.3,3.0,3.7,0.022,0.087,0.191,0.525,0.1989999999999999,2022-23
Kyle Anderson,PF,29,MIN,69,46,28.4,3.7,7.2,0.509,0.6,1.5,0.41,3.0,5.7,0.536,0.553,1.4,2.0,0.735,1.0,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4,12679.0,Kyle Anderson,MIN,29.0,205.74,104.32616,UCLA,USA,2014,1,30,69.0,9.4,5.3,4.9,2.3,0.035,0.152,0.143,0.583,0.225,2022-23
Giannis Antetokounmpo,PF,28,MIL,63,63,32.1,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,12520.0,Giannis Antetokounmpo,MIL,28.0,213.36,110.222856,None,Greece,2013,1,15,63.0,31.1,11.8,5.7,7.2,0.065,0.268,0.373,0.605,0.314,2022-23
Thanasis Antetokounmpo,SF,30,MIL,37,0,5.6,0.5,1.2,0.435,0.0,0.2,0.0,0.5,1.0,0.526,0.435,0.3,0.6,0.5,0.4,0.8,1.2,0.4,0.1,0.1,0.3,0.6,1.4,12460.0,Thanasis Antetokounmpo,MIL,30.0,200.66,99.336648,None,Greece,2014,2,51,37.0,1.4,1.2,0.4,-26.6,0.075,0.139,0.138,0.4579999999999999,0.115,2022-23
Cole Anthony,PG,22,ORL,60,4,25.9,4.6,10.2,0.454,1.3,3.4,0.364,3.4,6.7,0.5,0.516,2.5,2.8,0.894,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,13.0,12621.0,Cole Anthony,ORL,23.0,190.5,83.91452,North Carolina,USA,2020,1,15,60.0,13.0,4.8,3.9,-0.1,0.03,0.152,0.209,0.57,0.228,2022-23
OG Anunoby,SF,25,TOR,67,67,35.6,6.3,13.2,0.476,2.1,5.5,0.387,4.2,7.7,0.539,0.556,2.1,2.5,0.838,1.4,3.5,5.0,2.0,1.9,0.7,2.0,3.0,16.8,,,,,,,,,,,,,,,,,,,,,,
Ryan Arcidiacono,PG,28,TOT,20,4,8.6,0.5,1.9,0.243,0.4,1.2,0.348,0.1,0.7,0.071,0.351,0.0,0.0,0.0,0.0,0.8,0.8,1.2,0.3,0.0,0.4,0.9,1.3,12330.0,Ryan Arcidiacono,POR,29.0,190.5,88.45044,Villanova,USA,Undrafted,Undrafted,Undrafted,20.0,1.3,0.8,1.2,-12.8,0.0,0.09,0.106,0.351,0.195,2022-23
Ryan Arcidiacono,PG,28,NYK,11,0,2.4,0.1,0.5,0.2,0.1,0.3,0.333,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3,12330.0,Ryan Arcidiacono,POR,29.0,190.5,88.45044,Villanova,USA,Undrafted,Undrafted,Undrafted,20.0,1.3,0.8,1.2,-12.8,0.0,0.09,0.106,0.351,0.195,2022-23
Ryan Arcidiacono,PG,28,POR,9,4,16.2,0.9,3.6,0.25,0.8,2.2,0.35,0.1,1.3,0.083,0.359,0.0,0.0,0.0,0.0,1.2,1.2,2.3,0.3,0.0,0.7,1.6,2.6,12330.0,Ryan Arcidiacono,POR,29.0,190.5,88.45044,Villanova,USA,Undrafted,Undrafted,Undrafted,20.0,1.3,0.8,1.2,-12.8,0.0,0.09,0.106,0.351,0.195,2022-23
Deni Avdija,SF,22,WAS,76,40,26.6,3.3,7.6,0.437,0.9,3.1,0.297,2.4,4.6,0.53,0.497,1.6,2.2,0.739,1.0,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2,12493.0,Deni Avdija,WAS,22.0,205.74,95.25432,None,Israel,2020,1,9,76.0,9.2,6.4,2.8,-0.8,0.038,0.196,0.165,0.535,0.142,2022-23
Deandre Ayton,C,24,PHO,67,67,30.4,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,0.592,2.3,3.0,0.76,2.6,7.4,10.0,1.7,0.6,0.8,1.8,2.8,18.0,12513.0,Deandre Ayton,PHX,24.0,213.36,113.398,Arizona,Bahamas,2018,1,1,67.0,18.0,10.0,1.7,0.0,0.084,0.247,0.231,0.617,0.09,2022-23
Udoka Azubuike,C,23,UTA,36,4,10.0,1.6,2.0,0.819,0.0,0.0,0.0,1.6,2.0,0.819,0.819,0.2,0.6,0.35,0.9,2.4,3.3,0.3,0.2,0.4,0.5,0.9,3.5,12391.0,Udoka Azubuike,UTA,23.0,210.82,122.46984,Kansas,Nigeria,2020,1,27,36.0,3.5,3.3,0.3,-11.7,0.0819999999999999,0.2239999999999999,0.113,0.774,0.043,2022-23
Marvin Bagley III,C,23,DET,42,25,23.6,4.8,9.1,0.529,0.5,1.6,0.288,4.4,7.5,0.579,0.554,1.9,2.6,0.75,2.2,4.2,6.4,0.9,0.5,0.7,1.1,1.9,12.0,12713.0,Marvin Bagley III,DET,24.0,208.28,106.59412,Duke,USA,2018,1,2,42.0,12.0,6.4,0.9,-10.6,0.091,0.179,0.2019999999999999,0.5870000000000001,0.0579999999999999,2022-23
Patrick Baldwin Jr.,SF,20,GSW,31,0,7.3,1.4,3.5,0.394,1.0,2.7,0.381,0.4,0.8,0.44,0.541,0.1,0.2,0.667,0.0,1.3,1.3,0.4,0.2,0.1,0.4,0.5,3.9,,,,,,,,,,,,,,,,,,,,,,
LaMelo Ball,PG,21,CHO,36,36,35.2,8.2,20.0,0.411,4.0,10.6,0.376,4.2,9.4,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,12728.0,LaMelo Ball,CHA,21.0,200.66,81.64656,None,USA,2020,1,3,36.0,23.3,6.4,8.4,-4.7,0.031,0.147,0.289,0.541,0.352,2022-23
Mo Bamba,C,24,TOT,49,7,15.7,2.4,4.9,0.485,1.0,2.5,0.387,1.4,2.4,0.59,0.585,0.8,1.3,0.661,1.2,3.4,4.6,0.9,0.3,0.9,0.6,2.1,6.6,12356.0,Mo Bamba,LAL,25.0,213.36,104.779752,Texas,USA,2018,1,6,49.0,6.6,4.6,0.9,1.5,0.076,0.198,0.166,0.602,0.086,2022-23
